[BEGIN] 2023/4/5 21:32:55
72 processes; 356 threads;
CPU states: 78.5% user, 8.3% kernel
CPU  0 Idle: 13.3%
CPU  1 Idle: 12.7%
Memory: 3596M total, 887M avail, page size 4K

   TS          PID PRI STATE    HH:MM:SS    CPU    LASTCPU               COMMAND THREAD_NAME  
13:32:55    602145  21 Rcv       0:00:00   0.02%      0             io-pkt-v4-hc IntrThread_78(11)
13:32:55    602145  21 Rcv       0:00:00   0.02%      0             io-pkt-v4-hc cpsw9g_Rx(3)
13:32:55   1085502  12 SigW      0:00:00   0.02%      0           calibration_ui ppsrec_515(3)
13:32:55    512021  41 Rcv       0:00:00   0.02%      1                   screen screen-msg(11)
13:32:55    512021  41 Rcv       0:00:00   0.01%      1                   screen screen-msg(12)
13:32:55    512021  31 CdV       0:00:00   0.01%      0                   screen pvrsrv_msg_handler(17)
13:32:55      8198  21 Rcv       0:00:01   0.01%      0         devb-sdmmc-am65x sdmmc_driver_thread(4)
13:32:55      8198  10 Rcv       0:00:00   0.01%      0         devb-sdmmc-am65x async_io(5)
13:32:55    610328  10 SigW      0:00:01   0.01%      1      avm3d_gui_A58_V1.98 1
13:32:55    512021  21 Rcv       0:00:00   0.01%      1                   screen pvrsrv_msg_handler(18)
13:32:55    512021  10 WtTr      0:00:00   0.01%      0                   screen pvrsrv_msg_handler(20)
13:32:55    225299  12 Rcv       0:00:01   0.00%      1                tiipc-mgr 10
13:32:55      8198  21 Rcv       0:00:00   0.00%      1         devb-sdmmc-am65x fsys_resmgr(8)
13:32:55    913423  10 NSlp      0:00:00   0.00%      0           update_service 1
13:32:55    913423  12 SigW      0:00:00   0.00%      1           update_service ppsrec_21(2)
13:32:55   1228863  10 NSlp      0:00:00   0.00%      0                   mv_psd 1
13:32:55    798760  10 Rcv       0:00:00   0.00%      0               io-usb-otg timeout(8)
13:32:55    573471  19 SigW      0:00:00   0.00%      0 vx_desay_capture_display_csitx_front_view.out ppsrec_440(7)
13:32:55      8198  21 Rcv       0:00:00   0.00%      0         devb-sdmmc-am65x sdio_hc_thread(3)
13:32:55    995380  10 SigW      0:00:00   0.00%      1    vision_fd_pps_app_cmw 2
13:32:55    913421  12 SigW      0:00:00   0.00%      0       uds_app_bootloader ppsrec_514(2)
13:32:55   1196090  10 NSlp      0:00:00   0.00%      0                mv_fusion 4
13:32:55    577572  12 SigW      0:00:00   0.00%      1    vx_desay_dispatch.out ppsrec_21(7)
13:32:55   1196096  10 NSlp      0:00:00   0.00%      0              mv_decision decision_process_task(7)
13:32:55   1085501  12 SigW      0:00:00   0.00%      1 online_camera_extrinsic_calibration_cmw ppsrec_110(2)
13:32:55    995376  10 NSlp      0:00:00   0.00%      1    navigator_parking_cmw 1
13:32:55   1069105  10 NSlp      0:00:00   0.00%      0 parkingslot_park_cmw_app 1
13:32:55   1085500  10 NSlp      0:00:00   0.00%      0    calibration_adapt_app 3
13:32:55    995373  10 NSlp      0:00:00   0.00%      0         planning_hpp_app 1
13:32:55    995378  10 NSlp      0:00:00   0.00%      0 obstacle_fusion_parking_app_cmw 4
13:32:55    995375  10 NSlp      0:00:00   0.00%      1 path_optimization_hpp_app 1
13:32:55    983083  12 SigW      0:00:00   0.00%      0            gac_calib_mgt ppsrec_514(2)
13:32:55   1085501  10 NSlp      0:00:00   0.00%      1 online_camera_extrinsic_calibration_cmw 1
13:32:55   1085499  10 NSlp      0:00:00   0.00%      0 vision_fc_arrow_pps_app_cmw 8
13:32:55   1085500  10 NSlp      0:00:00   0.00%      0    calibration_adapt_app 1
13:32:55    933934  10 NSlp      0:00:09   0.00%      1      parking_manager_cmw 1
13:32:55   1196096  10 NSlp      0:00:00   0.00%      0              mv_decision 6
13:32:55   1196090  10 NSlp      0:00:00   0.00%      1                mv_fusion fusion_process_task(6)
13:32:55   1179701  10 NSlp      0:00:00   0.00%      1              monitor_cmw 1
13:32:55    995382  10 NSlp      0:00:00   0.00%      1    vision_od_pps_app_cmw 8
13:32:55   1085501  10 NSlp      0:00:00   0.00%      0 online_camera_extrinsic_calibration_cmw 3
13:32:55   1196090  10 NSlp      0:00:00   0.00%      1                mv_fusion 5
13:32:55   1228863  10 NSlp      0:00:00   0.00%      1                   mv_psd nv12_to_jpg_task(15)
13:32:55    995384  10 NSlp      0:00:00   0.00%      1 srv_multitask_parking_app_cmw 9
13:32:55    995380  10 NSlp      0:00:00   0.00%      1    vision_fd_pps_app_cmw 1
13:32:55   1228863  10 NSlp      0:00:00   0.00%      0                   mv_psd DealProtocolMessage(8)
13:32:55   1085491  10 NSlp      0:00:00   0.00%      0                vslam_cmw 1
13:32:55    995372  10 NSlp      0:00:00   0.00%      1             renderer_app 8
13:32:55   1228863  10 NSlp      0:00:00   0.00%      1                   mv_psd DataSend(10)
13:32:55         1  21 Rcv       0:00:05   0.00%      0                   kernel 8
13:32:55    610328  10 SigW      0:00:03   0.00%      0      avm3d_gui_A58_V1.98 QQmlThread(4)
13:32:55   1085502  10 SigW      0:00:00   0.00%      0           calibration_ui 1
13:32:55    725024  10 NSlp      0:00:00   0.00%      1                   mv_avm 1
13:32:55   1282103  10 SigW      0:00:00   0.00%      1                     sshd 1
13:32:55    610328  43 SigW      0:00:00   0.00%      1      avm3d_gui_A58_V1.98 QQuickPixmapReader(8)
13:32:55         1  21 Rcv       0:00:00   0.00%      1                   kernel 15
13:32:55    610328  10 CdV       0:00:00   0.00%      0      avm3d_gui_A58_V1.98 QSGRenderThread(5)
13:32:55    225299  20 Rcv       0:00:00   0.00%      1                tiipc-mgr 12
13:32:55         1  10 Rcv       0:00:00   0.00%      1                   kernel 10
13:32:55   1196089  40 CdV       0:00:00   0.00%      0                  mv_plan 1
13:32:55         3  10 Rcv       0:00:00   0.00%      0                     pipe 5
13:32:55   1630278  10 SigW      0:00:00   0.00%      0                     sshd 1
13:32:55   1290305  10 SigW      0:00:00   0.00%      0                     sshd 1
13:32:55   1228863  10 Dead      0:00:00   0.00%      1                   mv_psd 19
13:32:55    225299  10 Sem       0:00:00   0.00%      0                tiipc-mgr 5
13:32:55      8198  10 Rcv       0:00:00   0.00%      1         devb-sdmmc-am65x fsys_resmgr(18)
13:32:55    561161  30 CdV       0:00:00   0.00%      0                      slm process_activity(2)
13:32:55    933934  10 CdV       0:00:00   0.00%      0      parking_manager_cmw 2
13:32:55   1290306  10 Rply      0:00:00   0.00%      0                       sh 1
13:32:55    512021  10 Rcv       0:00:00   0.00%      1                   screen pvrsrv(7)
13:32:55    225299  10 Sem       0:00:00   0.00%      0                tiipc-mgr 11
13:32:55    573468  19 SigW      0:00:00   0.00%      1 IpcAdapterSVC_A58_S.1_230314 1
13:32:55      8197  10 Rcv       0:00:00   0.00%      0             devc-seromap 1
13:32:55   1261602  10 NSlp      0:00:00   0.00%      0               mv_monitor 1
13:32:55    225299  10 Rcv       0:00:00   0.00%      1                tiipc-mgr 1
13:32:55    151569  10 Rcv       0:00:00   0.00%      1                tisci-mgr 1
13:32:55   1646664  10 SigW      0:00:00   0.00%      0              sftp-server 1
13:32:55    798760  10 SigW      0:00:00   0.00%      1               io-usb-otg signal_handler(1)
13:32:55    188434  10 Rcv       0:00:00   0.00%      0           shmemallocator 5
13:32:55   1630277  10 SigS      0:00:00   0.00%      0                       sh 1
13:32:55    856075  10 Rcv       0:00:00   0.00%      1          usblauncher_otg processing_thread(1)
13:32:55    983083  42 SigW      0:00:00   0.00%      0            gac_calib_mgt 1
13:32:55    512021  10 SigW      0:00:00   0.00%      1                   screen screen-monitor(1)
13:32:55    573470  19 SigW      0:00:00   0.00%      1          ErrorManagement 1
13:32:55    995384  10 CdV       0:00:00   0.00%      1 srv_multitask_parking_app_cmw 2
13:32:55    983062  10 CdV       0:00:00   0.00%      1           ioTSecuSrv0928 1
13:32:55    860198  10 SigW      0:00:00   0.00%      0                     sshd 1
13:32:55         3  10 Rcv       0:00:00   0.00%      0                     pipe 2
13:32:55    225299  10 Sem       0:00:00   0.00%      1                tiipc-mgr 13
13:32:55    188434  10 Rcv       0:00:00   0.00%      0           shmemallocator 2
13:32:55    561161  30 Rcv       0:00:00   0.00%      1                      slm resmgr_process(1)
13:32:55   1642567  10 SigS      0:00:00   0.00%      1                       sh 1
13:32:55    602145  21 SigW      0:00:00   0.00%      1             io-pkt-v4-hc io-pkt_main(1)
13:32:55      4100  10 Rcv       0:00:00   0.00%      0                   random Resmgr_Thread(3)
13:32:55      8198  10 SigW      0:00:00   0.00%      1         devb-sdmmc-am65x xpt_signal_handler(1)
13:32:55      4100  10 SigW      0:00:00   0.00%      1                   random Signal_Thread(1)
13:32:55    983062  10 Rply      0:00:00   0.00%      0           ioTSecuSrv0928 2
13:32:55   1306692  10 SigW      0:00:00   0.00%      1              sftp-server 1
13:32:55    438292  10 Rcv       0:00:00   0.00%      1               tiudma-mgr 1
13:32:55     12296  10 SigW      0:00:00   0.00%      0                    login 1
13:32:55      4100  10 NSlp      0:00:00   0.00%      0                   random Timer_Thread(2)
13:32:55    573466  10 Rply      0:00:00   0.00%      0                   mtouch main(1)
13:32:55    577565  10 Rcv       0:00:00   0.00%      0                  syslogd 2
13:32:55    577565  10 SigW      0:00:00   0.00%      0                  syslogd 1
13:32:55    995372  10 Dead      0:00:00   0.00%      1             renderer_app 4
13:32:55    925719 255 Rcv       0:00:00   0.00%      1                   dumper 1
13:32:55    925721 255 Rcv       0:00:00   0.00%      0                      ham 3
13:32:55    573467  10 SigW      0:00:00   0.00%      1                   io-hid 1
13:32:55    610328  30 CdV       0:00:00   0.00%      0      avm3d_gui_A58_V1.98 buffer-swap-thread(6)
13:32:55    225299  10 Sem       0:00:00   0.00%      1                tiipc-mgr 4
13:32:55   1302595  10 SigS      0:00:00   0.00%      1                       sh 1
13:32:55    925738  10 Rcv       0:00:00   0.00%      0                      ham 1
13:32:55    225299  10 Sem       0:00:00   0.00%      0                tiipc-mgr 15
13:32:55      4100  10 Rcv       0:00:00   0.00%      1                   random Seed_Save_Thread(4)
13:32:55    798760  21 Rcv       0:00:00   0.00%      1               io-usb-otg usbdi_resmgr(5)
13:32:55    188434  10 Rcv       0:00:00   0.00%      0           shmemallocator 4
13:32:55     12295  10 SigW      0:00:00   0.00%      1         devb-sdmmc-am65x xpt_signal_handler(1)
13:32:55    569358  10 Rcv       0:00:00   0.00%      1                   mqueue 1
13:32:55    933934  10 Rply      0:00:00   0.00%      0      parking_manager_cmw 3
13:32:55    995382  10 Rply      0:00:00   0.00%      1    vision_od_pps_app_cmw 2
13:32:55    995382  10 CdV       0:00:00   0.00%      0    vision_od_pps_app_cmw 3
13:32:55    438292  10 Rcv       0:00:00   0.00%      1               tiudma-mgr 4
13:32:55    933934  10 CdV       0:00:00   0.00%      0      parking_manager_cmw 4
13:32:55    188434  10 SigW      0:00:00   0.00%      1           shmemallocator 1
13:32:55         3  10 SigW      0:00:00   0.00%      1                     pipe 1
13:32:55   1085499  10 Rply      0:00:00   0.00%      0 vision_fc_arrow_pps_app_cmw 2
13:32:55      8198  19 Rcv       0:00:00   0.00%      0         devb-sdmmc-am65x fsys_resmgr(9)
13:32:55         1  10 Rcv       0:00:00   0.00%      1                   kernel 9
13:32:55    712743  10 SigS      0:00:00   0.00%      0                       sh 1
13:32:55    602145  21 Rcv       0:00:00   0.00%      0             io-pkt-v4-hc 5
13:32:55    995380  10 CdV       0:00:00   0.00%      1    vision_fd_pps_app_cmw 5
13:32:55    610328  10 Rply      0:00:00   0.00%      0      avm3d_gui_A58_V1.98 QQnxScreenEventThread(3)
13:32:55   1085499  10 CdV       0:00:00   0.00%      0 vision_fc_arrow_pps_app_cmw 3
13:32:55    995380  10 Rply      0:00:00   0.00%      1    vision_fd_pps_app_cmw 4
13:32:55      8198  10 Rcv       0:00:00   0.00%      0         devb-sdmmc-am65x fsys_resmgr(7)
13:32:55    573466  30 Rcv       0:00:00   0.00%      1                   mtouch atmel_mxt-tp(2)
13:32:55   1085502  10 Rcv       0:00:00   0.00%      0           calibration_ui QQnxScreenEventThread(2)
13:32:55    225299  21 Sem       0:00:00   0.00%      1                tiipc-mgr 7
13:32:55    577565  10 Rcv       0:00:00   0.00%      1                  syslogd 4
13:32:55    610328  10 Dead      0:00:00   0.00%      1      avm3d_gui_A58_V1.98 7
13:32:55    798760  10 Rcv       0:00:00   0.00%      1               io-usb-otg port_monitor(7)
13:32:55   1228863  10 Rply      0:00:00   0.00%      0                   mv_psd TcpManage(9)
13:32:55    995384  10 Rply      0:00:00   0.00%      0 srv_multitask_parking_app_cmw 3
13:32:55   1228863  10 Rply      0:00:00   0.00%      0                   mv_psd ConnectProtocolAccept(7)
13:32:55   1196096  10 Rply      0:00:00   0.00%      0              mv_decision 5
13:32:55    602145  21 Sem       0:00:00   0.00%      0             io-pkt-v4-hc 9
13:32:55    577565  10 Rcv       0:00:00   0.00%      1                  syslogd 5
13:32:55    602145  21 Rply      0:00:00   0.00%      0             io-pkt-v4-hc 8
13:32:55    995372  10 Rply      0:00:00   0.00%      0             renderer_app 2
13:32:55         1  10 Rcv       0:00:00   0.00%      1                   kernel 3
13:32:55    995384  10 CdV       0:00:00   0.00%      0 srv_multitask_parking_app_cmw 4
13:32:55    798760  10 CdV       0:00:00   0.00%      0               io-usb-otg hub_1(3)
13:32:55    925721  10 Rcv       0:00:00   0.00%      0                      ham 7
13:32:55    602145  21 Dead      0:00:00   0.00%      0             io-pkt-v4-hc 7
13:32:55    438292  10 Rcv       0:00:00   0.00%      1               tiudma-mgr 3
13:32:55    438292  10 Rcv       0:00:00   0.00%      1               tiudma-mgr 5
13:32:55    573467  10 Rcv       0:00:00   0.00%      1                   io-hid 3
13:32:55    225299  21 Sem       0:00:00   0.00%      0                tiipc-mgr 6
13:32:55    995372  30 CdV       0:00:00   0.00%      0             renderer_app buffer-swap-thread(3)
13:32:55    602145  21 Dead      0:00:00   0.00%      0             io-pkt-v4-hc 4
13:32:55   1085491  10 CdV       0:00:00   0.00%      0                vslam_cmw VslamStateMachineThread(2)
13:32:55     12295  21 Rcv       0:00:00   0.00%      0         devb-sdmmc-am65x sdio_cd_thread(2)
13:32:55    798760  21 Rcv       0:00:00   0.00%      1               io-usb-otg usbdi_resmgr(13)
13:32:55    925721  10 Rcv       0:00:00   0.00%      1                      ham 5
13:32:55    856075  21 Rply      0:00:00   0.00%      1          usblauncher_otg usbdci:eventloop(3)
13:32:55    225299  19 Sem       0:00:00   0.00%      1                tiipc-mgr 3
13:32:55    602145  21 Rply      0:00:00   0.00%      0             io-pkt-v4-hc 6
13:32:55      8198  10 Rcv       0:00:00   0.00%      1         devb-sdmmc-am65x fsys_resmgr(10)
13:32:55    925721  10 Rcv       0:00:00   0.00%      1                      ham 1
13:32:55    725024  30 CdV       0:00:00   0.00%      1                   mv_avm buffer-swap-thread(9)
13:32:55    798760  10 Rcv       0:00:00   0.00%      0               io-usb-otg usbdi_resmgr(6)
13:32:55    995384  10 CdV       0:00:00   0.00%      1 srv_multitask_parking_app_cmw 6
13:32:55    995380  10 CdV       0:00:00   0.00%      1    vision_fd_pps_app_cmw 6
13:32:55    577565  10 Rcv       0:00:00   0.00%      1                  syslogd 3
13:32:55    925721  10 Rcv       0:00:00   0.00%      0                      ham 2
13:32:55      8198  21 Rcv       0:00:00   0.00%      1         devb-sdmmc-am65x sdio_cd_thread(2)
13:32:55    798760  21 CdV       0:00:00   0.00%      0               io-usb-otg client_3(14)
13:32:55    925721 255 Rcv       0:00:00   0.00%      0                      ham 4
13:32:55    798760  10 CdV       0:00:00   0.00%      0               io-usb-otg usbmgr_0(2)
13:32:55    188434  10 Rcv       0:00:00   0.00%      1           shmemallocator 3
13:32:55         1   1 Rcv       0:00:00   0.00%      1                   kernel pageout(4)
13:32:55    798760  21 CdV       0:00:00   0.00%      0               io-usb-otg client_4(15)
13:32:55    925721  10 Rcv       0:00:00   0.00%      0                      ham 8
13:32:55    573467  10 Rcv       0:00:00   0.00%      1                   io-hid 5
13:32:55    225299  10 Rcv       0:00:00   0.00%      0                tiipc-mgr 14
13:32:55    995382  10 CdV       0:00:00   0.00%      0    vision_od_pps_app_cmw 4
13:32:55    995382  10 CdV       0:00:00   0.00%      1    vision_od_pps_app_cmw 5
13:32:55     12295  21 Rcv       0:00:00   0.00%      1         devb-sdmmc-am65x sdio_hc_thread(3)
13:32:55    856075  10 SigW      0:00:00   0.00%      1          usblauncher_otg signal_thread(2)
13:32:55    512021  10 Rcv       0:00:00   0.00%      1                   screen screen-msg(8)
13:32:55         3  10 Rcv       0:00:00   0.00%      1                     pipe 3
13:32:55    798760  21 CdV       0:00:00   0.00%      0               io-usb-otg client_5(16)
13:32:55    798760  24 Rcv       0:00:00   0.00%      1               io-usb-otg xhci_evt_pulse(11)
13:32:55    798760  21 CdV       0:00:00   0.00%      1               io-usb-otg client_6(17)
