Computing times...49 processes; 199 threads;
CPU states: 3.6% user, 0.7% kernel
CPU  0 Idle: 94.7%
CPU  1 Idle: 96.5%
Memory: 3596M total, 2036M avail, page size 4K

   TS          PID PRI STATE    HH:MM:SS    CPU    LASTCPU               COMMAND THREAD_NAME  
16:07:00         1  10 Rcv       0:00:00   0.00%      0                   kernel 8
16:07:00    725025  10 Rcv       0:00:00   0.00%      1                   screen pvrsrv_msg_handler(21)
16:07:00    643099  10 Rcv       0:00:00   0.00%      1               io-usb-otg usbdi_resmgr(6)
16:07:00    725025  10 Rcv       0:00:00   0.00%      1                   screen pvrsrv_msg_handler(17)
16:07:00    725025  30 Rcv       0:00:00   0.00%      0                   screen screen-msg(9)
16:07:00    565273  10 Rcv       0:00:00   0.00%      0                   io-hid 4
16:07:00    512009  21 Dead      0:00:00   0.00%      0             io-pkt-v4-hc 4
16:07:00     12295  21 Rcv       0:00:00   0.00%      1         devb-sdmmc-am65x sdio_cd_thread(2)
16:07:00    643099  21 Rcv       0:00:00   0.00%      0               io-usb-otg usbdi_resmgr(13)
16:07:00         1  21 Rcv       0:00:00   0.00%      0                   kernel 12
16:07:00         1  10 Rcv       0:00:00   0.00%      0                   kernel 10
16:07:00    512009  21 Rply      0:00:00   0.00%      0             io-pkt-v4-hc 6
16:07:00    213007  20 Rcv       0:00:00   0.00%      0           shmemallocator 4
16:07:00    729122  21 Rply      0:00:00   0.00%      1          usblauncher_otg usbdci:eventloop(3)
16:07:00    725025  30 Rcv       0:00:00   0.00%      0                   screen screen-msg(11)
16:07:00    729122  21 Rply      0:00:00   0.00%      1          usblauncher_otg usbdci:eventloop2(4)
16:07:00    229392  19 Sem       0:00:00   0.00%      1                tiipc-mgr 3
16:07:00    757795  10 Rcv       0:00:00   0.00%      0                      ham 5
16:07:00    643099  21 CdV       0:00:00   0.00%      0               io-usb-otg client_3(14)
16:07:00    725025  30 Rcv       0:00:00   0.00%      1                   screen screen-msg(10)
16:07:00      8198  21 Rcv       0:00:00   0.00%      1         devb-sdmmc-am65x sdio_cd_thread(2)
16:07:00    213007  10 Rcv       0:00:00   0.00%      0           shmemallocator 3
16:07:00    725025  10 Rply      0:00:00   0.00%      0                   screen HID_notifications_event_handler(13)
16:07:00         1   1 Rcv       0:00:00   0.00%      1                   kernel pageout(4)
16:07:00    438283  10 Rcv       0:00:00   0.00%      0               tiudma-mgr 5
16:07:00    643099  10 CdV       0:00:00   0.00%      0               io-usb-otg usbmgr_0(2)
16:07:00    643099  21 CdV       0:00:00   0.00%      1               io-usb-otg client_4(15)
16:07:00         1  10 Rcv       0:00:00   0.00%      1                   kernel 14
16:07:00    229392  20 Rcv       0:00:00   0.00%      0                tiipc-mgr 11
16:07:00    643099  10 CdV       0:00:00   0.00%      1               io-usb-otg enumerator_2(4)
16:07:00     12295  21 Rcv       0:00:00   0.00%      0         devb-sdmmc-am65x sdio_hc_thread(3)
16:07:00    229392  19 Rcv       0:00:00   0.00%      0                tiipc-mgr 4
16:07:00    643099  21 CdV       0:00:00   0.00%      0               io-usb-otg client_5(16)
16:07:00    643099  21 CdV       0:00:00   0.00%      1               io-usb-otg client_6(17)
16:07:00    757795  10 Rcv       0:00:00   0.00%      0                      ham 8
16:07:00    565273  10 Rply      0:00:00   0.00%      1                   io-hid usbdi_event_handler(5)
16:07:00    729122  10 SigW      0:00:00   0.00%      1          usblauncher_otg signal_thread(2)
16:07:00         3  10 Rcv       0:00:00   0.00%      1                     pipe 3
16:07:00    438283  19 Rcv       0:00:00   0.00%      0               tiudma-mgr 3
16:07:00    757795  10 Rcv       0:00:00   0.00%      0                      ham 1
16:07:00    757795 255 Rcv       0:00:00   0.00%      1                      ham 4
16:07:00    757795  10 Rcv       0:00:00   0.00%      0                      ham 2
16:07:00    725025  10 Rcv       0:00:00   0.00%      0                   screen screen-msg(8)
16:07:00         1  10 CdV       0:00:00   0.00%      1                   kernel pageio/GET(5)
16:07:00    643099  24 Rcv       0:00:00   0.00%      0               io-usb-otg xhci_irq_hdl_thread(10)
16:07:00    643099  24 Rcv       0:00:00   0.00%      1               io-usb-otg xhci_evt_pulse(9)
16:07:00    757795  10 Rcv       0:00:00   0.00%      0                      ham 6
16:07:00    729122  21 Rply      0:00:00   0.00%      1          usblauncher_otg control_thread(5)
16:07:00    565270  21 CdV       0:00:00   0.00%      0                   mtouch mtouch-module0(3)
16:07:00    643099  24 Rcv       0:00:00   0.00%      1               io-usb-otg xhci_evt_pulse(11)
16:07:00    643099  24 Rcv       0:00:00   0.00%      0               io-usb-otg xhci_irq_hdl_thread(12)
16:07:00    565273  21 Rcv       0:00:00   0.00%      1                   io-hid 2
16:07:00     40972  10 CdV       0:00:00   0.00%      1                      pps 2
16:07:00         1  10 CdV       0:00:00   0.00%      1                   kernel pageio/PUT(6)
